id,status,duration,start_date,start_station,end_date,end_station,bike_nr,subscription_type,zip_code,birth_date,gender
325609,Closed,411,2012-06-19 00:03:00,24,2012-06-19 00:10:00,40,B00471,Casual,,,
325704,Closed,451,2012-06-19 06:52:00,4,2012-06-19 06:59:00,22,B00331,Registered,2116,1974,Male
325705,Closed,207,2012-06-19 06:52:00,23,2012-06-19 06:55:00,54,B00294,Registered,2109,1985,Female
325706,Closed,794,2012-06-19 06:54:00,13,2012-06-19 07:07:00,30,B00425,Registered,2351,1957,Male
325707,Closed,317,2012-06-19 06:54:00,38,2012-06-19 06:59:00,20,B00004,Registered,1864,1956,Male
325708,Closed,800,2012-06-19 06:54:00,38,2012-06-19 07:08:00,64,B00592,Registered,1864,1957,Male
325709,Closed,837,2012-06-19 06:55:00,38,2012-06-19 07:09:00,63,B00400,Registered,2451,1984,Male
325710,Closed,276,2012-06-19 06:55:00,60,2012-06-19 07:00:00,42,B00024,Registered,2116,1983,Male
325711,Closed,1726,2012-06-19 06:56:00,42,2012-06-19 07:25:00,42,B00121,Casual,,,
325712,Closed,527,2012-06-19 06:56:00,12,2012-06-19 07:04:00,11,B00012,Registered,2176,1975,Female
325713,Closed,673,2012-06-19 06:59:00,59,2012-06-19 07:10:00,20,B00434,Casual,,,
325714,Closed,642,2012-06-19 07:00:00,26,2012-06-19 07:11:00,43,B00505,Registered,2118,1980,Female
325715,Closed,916,2012-06-19 07:00:00,53,2012-06-19 07:16:00,48,B00176,Registered,2115,1989,Male
325716,Closed,429,2012-06-19 07:00:00,39,2012-06-19 07:08:00,50,B00084,Registered,2118,1975,Male
325717,Closed,1552,2012-06-19 07:01:00,6,2012-06-19 07:27:00,65,B00279,Registered,2114,1951,Female
325718,Closed,426,2012-06-19 07:02:00,58,2012-06-19 07:09:00,48,B00352,Registered,2116,1977,Male
325719,Closed,270,2012-06-19 07:02:00,40,2012-06-19 07:07:00,43,B00359,Registered,2109,1974,Male
